iter	Passed	Remaining
615	38030	23707
616	38087	23642
617	38151	23582
618	38213	23520
619	38270	23456
620	38350	23405
621	38411	23343
622	38478	23285
623	38529	23216
624	38581	23148
625	38639	23085
626	38696	23020
627	38756	22957
628	38820	22897
629	38882	22835
630	38945	22775
631	39010	22715
632	39065	22649
633	39120	22583
634	39178	22520
635	39245	22461
636	39315	22404
637	39374	22340
638	39436	22279
639	39504	22221
640	39558	22155
641	39611	22088
642	39668	22024
643	39735	21965
644	39790	21900
645	39854	21839
646	39912	21776
647	39978	21716
648	40035	21652
649	40092	21588
650	40150	21524
651	40220	21467
652	40274	21401
653	40333	21338
654	40395	21277
655	40470	21222
656	40530	21159
657	40600	21102
658	40658	21038
659	40713	20973
660	40774	20911
661	40828	20845
662	40886	20782
663	40949	20721
664	41005	20656
665	41068	20596
666	41126	20532
667	41180	20467
668	41245	20406
669	41297	20340
670	41348	20273
671	41417	20215
672	41483	20155
673	41541	20092
674	41620	20039
675	41672	19973
676	41727	19908
677	41783	19843
678	41855	19787
679	41915	19725
680	41968	19659
681	42026	19595
682	42084	19532
683	42163	19478
684	42231	19420
685	42292	19358
686	42353	19296
687	42421	19237
688	42487	19177
689	42547	19115
690	42606	19052
691	42674	18993
692	42738	18933
693	42798	18871
694	42860	18809
695	42916	18744
696	42970	18680
697	43034	18619
698	43094	18557
699	43152	18494
700	43225	18437
701	43283	18374
702	43343	18311
703	43412	18253
704	43466	18188
705	43518	18122
706	43582	18061
707	43642	17999
708	43702	17936
709	43760	17874
710	43823	17813
711	43880	17749
712	43942	17687
713	44002	17625
714	44058	17561
715	44114	17498
716	44173	17435
717	44228	17371
718	44282	17306
719	44343	17244
720	44406	17183
721	44470	17122
722	44526	17059
723	44582	16995
724	44643	16933
725	44707	16873
726	44781	16816
727	44843	16754
728	44898	16690
729	44963	16630
730	45034	16572
731	45095	16510
732	45147	16445
733	45209	16383
734	45270	16322
735	45329	16259
736	45390	16197
737	45457	16137
738	45515	16075
739	45572	16011
740	45632	15949
741	45689	15886
742	45745	15823
743	45804	15760
744	45868	15699
745	45927	15637
746	45989	15576
747	46048	15513
748	46110	15452
